Id,Sentence,Categories,Target Party,Specificity,Split
1,A Shorten Labor Government will target a 50 per cent reduction in suicides over the next 10 years.,Commissive-O,Labor,,
2,"Labor’s National Suicide Prevention Strategy will provide a strong national commitment to reduce the suicide toll, and coordinate a focused effort across Australia.",Commissive-A,Labor,Vague,
3,Suicide affects far too many Australians.,Assertive,Other,,
4,"In 2014, 2,864 Australians lost their lives to suicide.",Assertive,Other,,
5,"Approximately seven Australians die from suicide every day, and for every person who dies from suicide, 30 attempt it.",Assertive,Other,,
6,We have to do better than this.,Assertive,Other,,
7,"Too many families, friends and colleagues are left dealing with these traumatic losses.",Assertive,Other,,
8,There are too many kids in this country who have taken days off school to go the funeral of a classmate who has taken their own life.,Assertive,Other,,
9,"There are too many parents who have had to sit at their kitchen table, shattered, exhausted and grieving, trying to write a eulogy for their own child.",Assertive,Other,,
10,"Australia must do more, ",Assertive,Other,,1.0
11,"and under Labor, we will.",Commissive-A,Labor,Vague,
12,"A Shorten Labor Government will commission Australia’s first national data-set of suicide deaths and work with the States and Territories to establish a national suicide register, helping experts identify vulnerable groups in our community.",Commissive-A,Labor,Specific,
13,A Shorten Labor Government will provide $72 million over three years for 12 regional suicide pilot projects.,Commissive-A,Labor,Specific,
14,"These projects will be in places with higher-than-average rates of suicide deaths, using a whole of community response to reduce suicide deaths in the most effective way.",Commissive-A,Labor,Specific,
15,Suicide is the fifth leading cause of death for Indigenous Australians.,Assertive,Other,,
16,Labor will take action to reduce suicide in Aboriginal and Torres Strait Islander communities by working with communities to implement the recommendations of the University of Western Sydney's Aboriginal and Torres Strait Islander Suicide Prevention Evaluation Project.,Commissive-A,Labor,Specific,
17,Labor will also ensure that at least three of the regional suicide pilot projects are in Aboriginal and Torres Strait Islander communities.,Commissive-A,Labor,Specific,
18,A Shorten Labor Government will provide $9 million towards a National Suicide Prevention Fund.,Commissive-A,Labor,Specific,
19,"The Fund will support research into reducing suicide deaths, and programs which reduce the stigma around suicide and seeking help when contemplating suicide.",Commissive-O,Labor,,
20,Labor has a proud record of investing in mental health.,Assertive-S,Labor,,
21,In Government Labor reversed a decade of Liberal neglect by increasing funding for mental health programs by over 350 percent.,Assertive-S,Labor,,
22,"<LIST> In contrast to the Turnbull Government, Labor’s Strategy will provide national leadership, and builds on our commitment to :",Commissive-A,Labor,Vague,1.0
23,"<li> Restore funding cut by the Liberals to six early psychosis centres, supporting young people with serious mental health problems. </li> ",Commissive-A,Labor,Specific,
24,<li>  Provide funding so more than 95 headspace centres around the country can stay open. </li> ,Commissive-A,Labor,Specific,
25,<li> Lead the negotiation to develop the Fifth National Mental Health and Suicide Prevention Plan. </li> ,Commissive-A,Labor,Specific,
26,<li> Deliver regionally tailored mental health programs through existing Primary Health Networks. </li> ,Commissive-A,Labor,Vague,
27,<li> Make sure people living with a mental illness continue to receive the support and care they need when they are not eligible for the National Disability Insurance Scheme. </li> ,Commissive-A,Labor,Specific,
28,<li> Promote the Mentally Healthy Workplace Alliance to support better mental health at work and remove the stigma and discrimination that all too often accompanies mental ill health. </li>  </LIST>,Commissive-A,Labor,Vague,
29,Labor’s reforms will deliver $83.7 million over four years to provide national leadership on an issue that impacts on far too many in our community.,Assertive-V,Labor,,
