Id,Sentence,Categories,Target Party,Specificity,Split
1,"Thank you - Michaelia, all of my colleagues, all of the family businesses here, all the mums and dads and the kids and the owner-drivers here.",Expressive,Liberal,,
2,"Let me say to you – what you saw just a few months ago was 35,000 owner-drivers, 35,000 family businesses that were put out of work.",Assertive,Liberal,,
3,This is not a theoretical issue. ,Assertive,Liberal,,
4,"In an election campaign you get a lot of debate, let me say if you do this policy it would do that, or it will do that – this is not a theoretical issue.",Assertive,Liberal,,
5,You know exactly what happened.,Assertive,Liberal,,
6,"We were just talking with one of you a moment ago who lost $50,000 and now has to sell off some assets to make up for those losses because of being put out of work for three weeks ",Assertive,Liberal,,1.0
7,"and if we had not been bringing the Parliament back early, ",Assertive-S,Liberal,,1.0
8,"we would not have been able to abolish that tribunal in time to get you back to work to enable you to put the food on the table, to enable you to pay the bills, to you enable you to keep your families together.",Assertive-V,Liberal,,
9,What we saw was the absolute objective of a Labor Party led by a leader Mr Shorten who says he wants to run Australia like a trade union.,Assertive,Labor,,
10,That’s what he said.,Assertive,Labor,,
11,He wants to run Australia like a trade union leader ,Assertive,Labor,,1.0
12,and he was running it when they set up the RSRT as Michaelia said on the direct instructions of the Transport Workers Union ,Assertive-S,Labor,,1.0
13,and their objective was to put owner drivers out of business and that tribunal did its job.,Assertive,Other,,
14,It worked.,Assertive,Other,,
15,Their plan worked ,Assertive,Other,,1.0
16,and if had it not been for us for having the numbers in the Senate and just by the skin of our teeth we were able to abolish that tribunal and get you back to work.,Assertive,Liberal,,
17,Now if Labor wins on the 2nd of July they will bring the RSRT back.,Assertive-V,Labor,,
18,Bill Shorten raised it in the debate on Friday night.,Assertive,Labor,,
19,They can herd the Transport Workers Union renewing their commitment to it – buying advertisements – they are determined to put your livelihoods at risk because they are threatened by family business.,Assertive-V,Labor,,
20,They are threatened by the enterprise and the independence you show.,Assertive,Labor,,
21,I tell you my friends - we are energised by your enterprise.,Expressive,Liberal,,
22,We want to back you right to the hilt and we do.,Assertive,Liberal,,
23,We will support you in this road regulation area.,Commissive-A,Liberal,Vague,
24,There will never be a RSRT.,Commissive-O,Liberal,,
25,There will never be a re-enactment of that shocking tribunal under the Government that I will lead if we are successful on the 2nd of July.,Commissive-O,Liberal,,
26,"As far as safety is concerned, of course, we are all committed to safety on the roads and none more so than you because you spend so much time on them and the $4 million we have saved from abolishing the RSRT will go into the National Heavy Vehicle Regulator to provide stronger support for vehicle safety and vehicle regulation to continue that protection for you and your families on the roads and all the other travellers on the roads.",Commissive-A,Liberal,Specific,
27,Beyond that we are backing family businesses.,Assertive,Liberal,,
28,If we are elected on the 2nd of July there will be tax cuts beginning on the 1st of July for businesses with a turnover of $10 million or less – that small family businesses would cover most of your businesses or many of them and you will get a tax cut – you will get that support – you will get access to instant asset write-offs.,Commissive-A,Liberal,Specific,
29,"You will be able to immediately invest further in your business and then next year it will be businesses with $25 million turnover, $50 million turnover and so forth until eight years all the companies in Australia will get a tax cut.",Assertive-V,Liberal,,
30,We are starting off with businesses like yours because you are - as one after another of you has said to me this morning - you are the absolute backbone of our economy.,Assertive,Liberal,,
31,"Your commitment, your preparedness to go and take a risk by borrowing money and buying a rig, investing in it, giving it all of the love and attention that you do – that is what drives our economy.",Assertive,Liberal,,
32,You carry our economy.,Assertive,Liberal,,
33,You carry our future – you are our future – your enterprise is the key to the success of Australia.,Assertive,Liberal,,
34,Our national economic plan – every element of it is backing businesses like yours - backing enterprise right across the board.,Assertive-V,Liberal,,
35,"The big clear difference at this election is - this we have a clear plan, a clear national economic plan which will deliver growth and jobs.",Assertive-V,Liberal,,
36,"It will deliver stronger economic growth because we are backing people that drive the economy, the enterprising business that drive the economy – we are backing them.",Assertive-V,Liberal,,
37,Labor on the other has declared war on business - every level of business - your businesses – big businesses – they have declared war on business because they are frightened by your independence and your enterprise.,Assertive-V,Labor,,
38,They are raising taxes on investments so there will be less investment.,Assertive-V,Labor,,
39,They are limiting the ability of working people to invest and get ahead and they are proposing higher taxes or $100 billion over a decade which can only put a handbrake on growth.,Assertive-V,Labor,,
40,Now we know that you have the future in your hands.,Assertive,Other,,
41,We are backing you right up to the hilt because we know it is the enterprise that you show – the family businesses of Australia that will secure our prosperity.,Assertive,Liberal,,
42,We are with you now as we have been with you in this battle right from the time it commenced.,Assertive-S,Liberal,,
43,We stand with you. ,Assertive,Liberal,,
44,We stand with your families. ,Assertive,Liberal,,
45,We stand with your enterprise because you stand for Australia.,Assertive,Liberal,,
46,Thank you very much.,Expressive,Liberal,,
