Id,Sentence,Categories,Head,Target Party,Specificity,Split
1,Friends,Assertive,2,Other,,1.0
2,Who said Labor wasn’t having a launch in Brisbane this Sunday.,Assertive,3,Labor,,
3,I thank you all for coming along on a Sunday.,Expressive,4,Other,,
4,Let’s make it the last Sunday of a Liberal Government nationally.,Directive,5,Liberal,,
5,It’s fabulous to be back in Queensland - coming into the home straight ready to hit the line strong.,Expressive,6,Other,,
6,"And if we want proof the race can be won, that this can be done look no further than my friend and your remarkable Premier Anastacia Palaszczuk.",Assertive,7,Other,,
7,"Alongside all the outstanding members of my united Queensland team here today,",Assertive,8#9,Other,,1.0
8,"I would also like to please acknowledge definitely my favourite Queenslander, Chloe, my wife.",Directive,,Other,,
9,"I acknowledge the traditional owners of the land upon which we meet,",Assertive,10,Other,,1.0
10,I pay my respects to their elders both past and present.,Expressive,11,Other,,
11,"<LIST> In this campaign, we are backing these words of respect with action:",Assertive,12#13#14,Labor,,1.0
12,<li> 400 new Indigenous teachers in our schools </li> ,Commissive-O,,Labor,,1.0
13,<li> Doubling the number of Aboriginal rangers who protect our environment </li> ,Commissive-O,,Labor,,1.0
14,"<li> And perhaps, most importantly, more Aboriginal and Torres Strait Islander candidates representing the Labor Party than ever before at the national level. </li> </LIST>",Commissive-O,,Labor,,
15,"As you might have heard, Mr Turnbull and his pals are having their launch in Sydney today.",Assertive,16,Liberal,,
16,"The Liberal party, assembling to arrogantly slap each other on the back, to celebrate a victory that Mr Turnbull claimed they’ve already won some weeks ago.",Assertive,17,Liberal,,
17,I want you all to take a moment and spare a thought for the person that has to do that seating plan for their launch.,Assertive,18#19#20,Liberal,,
18,"If you try it alphabetically you get Abbott, Abetz, Andrews…Bernardi...Brandis…",Assertive,21,Liberal,,1.0
19,"If you seat the ladies first, you run out halfway along the first row.",Assertive,21,Liberal,,
20,"If you do it by policy, everyone grabs the most far right-hand seats poor old Malcolm has got to find one over there too.",Expressive,21,Liberal,,
21,Enough about them.,Assertive,,Liberal,,
22,Friends,Assertive,23,Other,,1.0
23,"Back in May, in Tasmania, where I began this campaign – and every day since – from Beaconsfield to Brisbane – I’ve said this election is about choices and priorities.",Assertive,24#28#35#39#40#41,Labor,,
24,<LIST> We choose local jobs for local people,Assertive,25#26#27#42,Labor,,1.0
25,<li> A tax cut for small businesses </li> ,Commissive-A,,Labor,Vague,1.0
26,<li> Backing advanced manufacturing and renewable energy </li> ,Commissive-A,,Labor,Vague,1.0
27,"<li> And 15,000 new apprenticeships </li> ",Commissive-O,,Labor,,1.0
28,<li> We choose education. </li> ,Assertive,29#31#33#42,Labor,,
29,<li> Gonski funding for our schools. ,Commissive-A,30,Labor,Specific,
30,Once and for all. </li> ,Commissive-O,,Labor,,
31,<li> Affordable university - ,Commissive-O,32,Labor,,1.0
32,"not $100,000 degrees and the deregulation from the Liberal Party. </li>",Assertive-V,,Liberal,,
33,<li> And we'll clean out the dodgy private providers in vocational education – ,Commissive-A,,Labor,Vague,1.0
34,because Labor is backing public TAFE all the way. </li> </LIST>,Assertive,33,Labor,,
35,<LIST> We choose health.,Assertive,36#37#38#42,Labor,,
36,<li> Decent funding for our hospitals </li> ,Commissive-A,,Labor,Vague,1.0
37,<li> Affordable medicine </li> ,Commissive-O,,Labor,,1.0
38,<li> And we choose to protect Medicare </li> </LIST>,Commissive-A,,Labor,Vague,1.0
39,"We have chosen in this campaign to prioritise roads, rail and a first rate, fibre National Broadband Network.",Assertive,42,Labor,,
40,We choose equality and equal treatment for the women of Australia – and an end to family violence.,Assertive,42,Labor,,
